group,name,latency,bandwidth,upload_size,download_size,defer_decryption,proxy,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
mpc_redact_recv,,20,20,1024,40960,true,false,13166,1044,17199,29873028,3299391,757354,21219,33000051,4986340,
mpc_redact_recv,,20,20,1024,40960,true,false,13160,1047,17181,29873028,3299391,757354,21219,33000037,4986340,
mpc_redact_recv,,20,20,1024,51200,true,false,13170,1101,17413,29873028,3299391,768563,21219,33585088,4986340,
mpc_redact_recv,,20,20,1024,51200,true,false,13212,1098,17448,29873056,3299363,768563,21219,33585116,4986312,
mpc_redact_recv,,20,20,1024,51200,true,false,13196,1096,17428,29873014,3299363,768563,21219,33585046,4986312,
mpc_redact_recv,,20,20,1024,51200,true,false,13205,1096,17431,29873014,3299363,768563,21219,33585032,4986312,
mpc_redact_recv,,20,20,1024,51200,true,false,13223,1096,17466,29873014,3299363,768563,21219,33585046,4986312,
mpc_redact_recv,,20,20,1024,51200,true,false,13207,1094,17433,29873014,3299363,768563,21219,33585074,4986312,
mpc_redact_recv,,20,20,1024,51200,true,false,13197,1090,17409,29873014,3299363,768563,21219,33585060,4986312,
mpc_redact_recv,,20,20,1024,51200,true,false,13218,1100,17470,29873014,3299363,768563,21219,33585074,4986312,
mpc_redact_recv,,20,20,1024,51200,true,false,13214,1094,17456,29873014,3299363,768563,21219,33585074,4986312,
mpc_redact_recv,,20,20,1024,51200,true,false,13204,1097,17417,29873014,3299363,768563,21219,33585046,4986312,
mpc_reveal_recv,,20,20,1024,1024,true,false,13199,998,14473,29873014,3299363,715403,21215,30651307,3801104,
mpc_reveal_recv,,20,20,1024,1024,true,false,13187,995,14452,29873014,3299363,715403,21215,30650943,3801104,
mpc_reveal_recv,,20,20,1024,1024,true,false,13206,1000,14480,29873056,3299363,715403,21215,30651349,3801104,
mpc_reveal_recv,,20,20,1024,1024,true,false,13202,996,14473,29873056,3299363,715403,21215,30651139,3801104,
mpc_reveal_recv,,20,20,1024,1024,true,false,13213,997,14481,29873014,3299363,715403,21215,30651307,3801104,
mpc_reveal_recv,,20,20,1024,1024,true,false,13200,1000,14473,29873028,3299391,715403,21215,30651321,3801132,
mpc_reveal_recv,,20,20,1024,1024,true,false,13217,995,14487,29873014,3299363,715403,21215,30651307,3801104,
mpc_reveal_recv,,20,20,1024,1024,true,false,13207,994,14475,29873056,3299363,715403,21215,30650915,3801104,
mpc_reveal_recv,,20,20,1024,1024,true,false,13195,998,14462,29873014,3299363,715403,21215,30650929,3801104,
mpc_reveal_recv,,20,20,1024,1024,true,false,13215,998,14485,29873014,3299363,715403,21215,30651307,3801104,
mpc_reveal_recv,,20,20,1024,2048,true,false,13217,1000,14490,29873014,3299363,716427,21215,30653355,3801104,
mpc_reveal_recv,,20,20,1024,2048,true,false,13195,995,14461,29873014,3299363,716427,21215,30652935,3801104,
mpc_reveal_recv,,20,20,1024,2048,true,false,13202,1000,14474,29873014,3299363,716427,21215,30653173,3801104,
mpc_reveal_recv,,20,20,1024,2048,true,false,13201,1000,14473,29873014,3299363,716427,21215,30653355,3801104,
mpc_reveal_recv,,20,20,1024,2048,true,false,13217,997,14491,29873014,3299363,716427,21215,30653355,3801104,
mpc_reveal_recv,,20,20,1024,2048,true,false,13195,994,14462,29873014,3299363,716427,21215,30653019,3801104,
mpc_reveal_recv,,20,20,1024,2048,true,false,13206,997,14474,29873014,3299363,716427,21215,30653033,3801104,
mpc_reveal_recv,,20,20,1024,2048,true,false,13183,996,14449,29873014,3299363,716427,21215,30653005,3801104,
mpc_reveal_recv,,20,20,1024,2048,true,false,13216,997,14487,29873014,3299363,716427,21215,30653355,3801104,
mpc_reveal_recv,,20,20,1024,2048,true,false,13206,993,14475,29873014,3299363,716427,21215,30653355,3801104,
mpc_reveal_recv,,20,20,1024,5120,true,false,13181,997,14452,29873070,3299391,719499,21215,30659555,3801132,
mpc_reveal_recv,,20,20,1024,5120,true,false,13189,990,14454,29873014,3299363,719499,21215,30659205,3801104,
mpc_reveal_recv,,20,20,1024,5120,true,false,13187,1004,14464,29873070,3299391,719499,21215,30659555,3801132,
mpc_reveal_recv,,20,20,1024,5120,true,false,13185,999,14458,29873070,3299391,719499,21215,30659555,3801132,
mpc_reveal_recv,,20,20,1024,5120,true,false,13201,993,14470,29873014,3299363,719499,21215,30659499,3801104,
mpc_reveal_recv,,20,20,1024,5120,true,false,13224,997,14496,29872972,3299363,719499,21215,30659163,3801104,
mpc_reveal_recv,,20,20,1024,5120,true,false,13183,995,14452,29873028,3299363,719499,21215,30659275,3801104,
mpc_reveal_recv,,20,20,1024,5120,true,false,13212,992,14478,29873014,3299363,719499,21215,30659499,3801104,
mpc_reveal_recv,,20,20,1024,5120,true,false,13218,994,14490,29873056,3299363,719499,21215,30659541,3801104,
mpc_reveal_recv,,20,20,1024,5120,true,false,13217,990,14484,29873056,3299363,719499,21215,30659541,3801104,
mpc_reveal_recv,,20,20,1024,10240,true,false,13186,995,14454,29873014,3299363,724880,21219,30669680,3801108,
mpc_reveal_recv,,20,20,1024,10240,true,false,13214,1001,14490,29873014,3299363,724880,21219,30670002,3801108,
mpc_reveal_recv,,20,20,1024,10240,true,false,13220,998,14494,29873014,3299363,724880,21219,30670002,3801108,
mpc_reveal_recv,,20,20,1024,10240,true,false,13213,1000,14487,29873042,3299363,724880,21219,30669792,3801108,
mpc_reveal_recv,,20,20,1024,10240,true,false,13182,992,14450,29873056,3299363,724880,21219,30669792,3801108,
mpc_reveal_recv,,20,20,1024,10240,true,false,13202,998,14471,29873014,3299363,724577,21219,30669680,3801108,
mpc_reveal_recv,,20,20,1024,10240,true,false,13182,993,14452,29873014,3299363,724880,21219,30669680,3801108,
mpc_reveal_recv,,20,20,1024,10240,true,false,13186,996,14458,29873070,3299391,724880,21219,30670058,3801136,
mpc_reveal_recv,,20,20,1024,10240,true,false,13202,997,14474,29873056,3299363,724880,21219,30669848,3801108,
mpc_reveal_recv,,20,20,1024,10240,true,false,13208,1000,14483,29873014,3299363,724880,21219,30670002,3801108,
mpc_reveal_recv,,20,20,1024,20480,true,false,13205,1046,14533,29873056,3299363,735997,21219,30691177,3801108,
mpc_reveal_recv,,20,20,1024,20480,true,false,13217,1050,14548,29873014,3299363,735997,21219,30691373,3801108,
mpc_reveal_recv,,20,20,1024,20480,true,false,13212,1049,14543,29873028,3299363,735997,21219,30691065,3801108,
mpc_reveal_recv,,20,20,1024,20480,true,false,13213,1052,14543,29873014,3299363,735997,21219,30691373,3801108,
mpc_reveal_recv,,20,20,1024,20480,true,false,13198,1048,14527,29873028,3299391,735997,21219,30691387,3801136,
mpc_reveal_recv,,20,20,1024,20480,true,false,13213,1045,14541,29873056,3299363,735997,21219,30691415,3801108,
mpc_reveal_recv,,20,20,1024,20480,true,false,13208,1053,14539,29873014,3299363,735997,21219,30691373,3801108,
